gridNo,featNo,weight,grid_x,grid_y,grid_z
22778,3,197.46213,13,16,30
22778,4,-235.14865,13,16,30
22778,5,197.48755,13,16,30
22779,1,158.97621,13,16,31
22779,3,-30.94611,13,16,31
22779,5,-31.004696,13,16,31
22780,0,-403.12698,13,16,32
22780,1,172.56316,13,16,32
22780,4,457.59976,13,16,32
22781,1,89.8008,13,16,33
22783,3,-383.95282,13,16,35
22783,5,-383.89868,13,16,35
22820,4,228.04039,13,17,25
22823,1,527.8789,13,17,28
22823,4,602.9653,13,17,28
22824,0,-183.97504,13,17,29
22824,1,-328.58527,13,17,29
22824,3,540.87463,13,17,29
22824,5,540.9287,13,17,29
22825,1,330.62198,13,17,30
22825,4,591.22327,13,17,30
22826,1,474.6164,13,17,31
22826,3,-376.10522,13,17,31
22826,5,-376.25446,13,17,31
22827,1,-119.68731,13,17,32
22827,4,207.88004,13,17,32
22828,3,457.69385,13,17,33
22828,4,-152.30309,13,17,33
22828,5,457.61615,13,17,33
22867,0,213.32484,13,18,25
22867,2,213.28975,13,18,25
22867,4,-241.21326,13,18,25
22870,1,90.90333,13,18,28
22871,0,468.5083,13,18,29
22871,1,518.4152,13,18,29
22871,4,542.52155,13,18,29
22872,1,478.07358,13,18,30
22872,3,538.31775,13,18,30
22872,4,-376.1579,13,18,30
22872,5,538.2788,13,18,30
22873,3,-397.7157,13,18,31
22873,4,484.76587,13,18,31
22873,5,-397.8294,13,18,31
22874,1,-469.07587,13,18,32
22874,3,643.9988,13,18,32
22874,4,-100.717545,13,18,32
22874,5,654.6827,13,18,32
22876,0,-537.04236,13,18,34
22876,1,-537.1238,13,18,34
22876,3,20.368416,13,18,34
22876,4,-406.09366,13,18,34
22876,5,249.44215,13,18,34
22877,0,-458.06604,13,18,35
22877,1,47.695652,13,18,35
22878,1,351.80057,13,18,36
22878,3,138.57422,13,18,36
22878,5,138.68869,13,18,36
22911,3,337.79855,13,19,22
22911,5,337.71185,13,19,22
22912,4,-241.15765,13,19,23
22913,4,-241.11758,13,19,24
22914,4,469.5347,13,19,25
22917,1,329.58334,13,19,28
22917,3,251.99715,13,19,28
22917,4,541.46295,13,19,28
22917,5,252.09703,13,19,28
22918,0,356.44968,13,19,29
22918,1,208.09818,13,19,29
22918,3,-381.66235,13,19,29
22918,4,279.3782,13,19,29
22919,0,476.8397,13,19,30
22919,1,538.8086,13,19,30
22919,3,640.573,13,19,30
22919,4,589.80383,13,19,30
22919,5,640.5106,13,19,30
22920,3,650.11774,13,19,31
22920,4,224.40904,13,19,31
22920,5,387.85556,13,19,31
22922,0,-960.4148,13,19,33
22922,1,-361.01804,13,19,33
22922,2,-489.7567,13,19,33
22922,3,463.71786,13,19,33
22922,4,61.966465,13,19,33
22922,5,160.31543,13,19,33
22923,0,-92.21969,13,19,34
22923,1,494.62695,13,19,34
22923,3,24.870062,13,19,34
22923,4,475.90912,13,19,34
22923,5,-452.41165,13,19,34
22924,0,-937.6844,13,19,35
22924,1,250.19724,13,19,35
22924,2,-346.8568,13,19,35
22924,4,414.73804,13,19,35
22925,0,-73.506645,13,19,36
22925,1,267.24997,13,19,36
22925,2,-311.46448,13,19,36
22925,3,304.75745,13,19,36
22926,0,329.0748,13,19,37
22926,1,16.191774,13,19,37
22963,4,470.72992,13,20,27
22964,4,242.65987,13,20,28
22965,0,159.45609,13,20,29
22965,2,159.55104,13,20,29
22965,3,333.1103,13,20,29
22965,4,-332.99103,13,20,29
22965,5,332.98886,13,20,29
22966,1,314.36676,13,20,30
22966,3,214.26813,13,20,30
22966,5,214.27206,13,20,30
22968,0,-18.9424,13,20,32
22968,1,606.82526,13,20,32
22968,3,-109.72703,13,20,32
22968,4,418.58142,13,20,32
22968,5,-109.63792,13,20,32
22969,0,-993.7739,13,20,33
22969,1,-499.1843,13,20,33
22969,3,631.53107,13,20,33
22969,4,-225.0093,13,20,33
22969,5,140.29808,13,20,33
22970,0,-538.08887,13,20,34
22970,1,89.326454,13,20,34
22970,3,-117.25861,13,20,34
22970,4,225.94162,13,20,34
22970,5,527.3083,13,20,34
22971,0,-485.60886,13,20,35
22971,1,-50.3515,13,20,35
22971,4,-147.973,13,20,35
22972,0,-408.32285,13,20,36
22972,1,-174.71138,13,20,36
22972,3,417.09262,13,20,36
22972,5,-154.24525,13,20,36
23010,3,470.80457,13,21,27
23010,4,387.81686,13,21,27
23010,5,470.70026,13,21,27
23012,3,528.6182,13,21,29
23012,4,454.97217,13,21,29
23012,5,528.6949,13,21,29
23013,1,409.3693,13,21,30
23013,3,546.1023,13,21,30
23013,5,546.1316,13,21,30
23014,1,447.75922,13,21,31
23014,3,-112.186806,13,21,31
23014,4,569.16473,13,21,31
